name,description,category,url
Humanoid Robotics at Virginia Tech,"To work on the development of open-source bipedal robotics at the collegiate level. The ultimate goal is to become the first collegiate team with a walking six foot tall bipedal robot capable of object manipulation, vision, and movement.",Technology,https://gobblerconnect.vt.edu/humanoidrobotics/
Hybrid Electric Vehicle Team at Virginia Tech,"HEVT is participating in EcoCAR Innovation Challenge, a four-year engineering design competition sponsored by the US Department of Energy, GM, Stellantis, and MathWorks. Over 4 years (2026-2030) we are tasked with redesigning a Blazer EV.",Academic,https://linktr.ee/hybridelectricvehicleteam
If You're Reading This,"A mental health resource that hosts letters of support from students, faculty, and alumni.",Advocacy & Awareness,https://www.instagram.com/ifyourereadingthisvt/
Improv at Virginia Tech,"A student-run improv club for any students that wish to try out the art form. We host additional, open improv practices and put on two shows at the end of each semester. Instagram: vt.improv",Arts & Entertainment,https://gobblerconnect.vt.edu/improvt/
Indian Students Association,The Indian Students Association (ISA) showcases Indian culture and organizes events where Indian students,Cultural & International,https://isa-vt.org/
Indivisible at Virginia Tech,"We the People of Indivisible at Virginia Tech, a grassroots student political organization and chapter of the national Indivisible movement, strive to be a pillar for justice, giving our members, and our student body, the tools, information and hope to build towards a stronger future. In the fight…",Advocacy & Awareness,https://gobblerconnect.vt.edu/indivisible/
Industrial and Systems Engineering Graduate Student Council,"Our organization aims to strengthen the sense of community among our graduate student body across the various ISE disciplines through social, academic, and professional events, and to serve as an effective communication liaison for our graduate students.",Other,https://gobblerconnect.vt.edu/isegsc/
Inspirefly at Virginia Tech,inspireFly is a Small Satellite Student Design Team. We are a multidisciplinary design team who aim to provide all students the opportunity to work on space projects.,Academic,https://inspirefly.weebly.com/
Institute for Operations Research and the Management Science Student Chapter,"The INFORMS student chapter at Virginia Tech aims to stimulate interest in the fields of Operations Research, Manufacturing Systems and Processes, and Management Sciences, as well as to provide professional development opportunities for students in ISE.",Academic,https://sites.google.com/view/vt-informs/
Institute of Electrical and Electronics Engineers,"The Institute of Electrical and Electronics Engineers (IEEE) is the primary professional society of the electrical engineering profession. It has more than 330,000 members worldwide; including 52,000 student members.",Academic,http://www.ieee.vt.edu
Institute of Industrial and Systems Engineers,"IISE is an international, nonprofit association that provides leadership for the application, education, training, research, and development of industrial and systems engineering.",Academic,https://iise.ise.vt.edu/
Interfaces of Global Change Graduate Student Organization,Graduate Student Organization affiliated with the Interfaces of Global Change Interdisciplinary Graduate Education Program at Virginia Tech,Academic,https://globalchange.vt.edu/graduate/people-of-the-igc/graduate-student-organization.html
Interfraternity Council,"The Interfraternity Council (IFC) is the governing council for 30 of our men’s fraternities, most of which are associated with the North-American Interfraternity Conference (NIC). IFC plans and implements various educational and leadership programs for its chapter members, while also providing…",Other,https://fsl.vt.edu/organizations/councils/IFC.html
Interior Designers for Education and Sustainability,IDEAS provides skill-building opportunities and cultivates relationships between students and professionals to assist with the transition to the workforce and promote success and growth in the Interior Design program.,Academic,http://interiordesign.arch.vt.edu/about/
International Archive of Women in Architecture,The IAWA serves the purpose of documenting the history of women's contributions to the built environment and to engage students and community members to play an active role in sharing stories of architects represented in the special collections archive.,Academic,https://iawacenter.aad.vt.edu
International Council on Systems Engineering at Virginia Tech,"INCOSE@VT strives to offer educational, networking, and career-development platforms to enrich the field of systems engineering and foster the application of systems approaches in problem-solving.",Academic,https://gobblerconnect.vt.edu/incoseatvt/
International Friendships Inc.,"We are a diverse group of Americans and international students committed to helping international students feel at home. Through genuine friendship, practical support, and life-changing hospitality, we share God’s love in caring and meaningful ways.",Cultural & International,https://gobblerconnect.vt.edu/ifiusa/
International Relations Organization at Virginia Tech,"The IRO@VT is a student-run think tank that seeks to provide a platform for networking, researching, learning, and simulating the resolution of world conflicts through the lens of diplomacy, international law, military means, and socio-economic change.",Academic,https://gobblerconnect.vt.edu/iro/
"International Society for Pharmaceutical Engineering, Inc. at Virginia Tech",To grow the interest in biotechnology at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/ispeatvt/
InterVarsity Graduate Christian Fellowship,"Christian fellowship, bible study, integration of faith and work",Religious,http://www.gcfvt.org
Iranian Society at Virginia Tech,"ISVT is a nonpolitical, nonreligious, nonprofit, cultural organization at Virginia Tech. This organization serves the Iranian students at VT and holds social and cultural events aiming to introduce and promote Persian Culture amongst the VT Community.",Cultural & International,http://www.iranian.org.vt.edu/
Irish Dancing at Virginia Tech,A student run Irish Dance club for people who are passionate about Irish Dancing and want to have fun. All levels of experience welcome.,Arts & Entertainment,https://gobblerconnect.vt.edu/irishdance/
